Run,Purity,MIDS,TotalReads(M),lpWGSReads(M),TargetPanelReads(M),%ReadslpWGS,%ReadsPanel,1000x,500x,200x,100x,50x,25x,DupFrac,LowCovRegions,PurityPloidyRatio,ResNoise,SignalNoiseRatio,%VariantFraction,QAStatus_High,QAStatus_Low,QAStatus_Medium,Gene_BRCA1,Gene_BRCA2,Gene_RAD51D,Gene_Unlisted
3,40.0,10,6.5,4.1,2.4,63.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,82.0,18,0.0,0.13,2.07,0.0,0,0,1,0,0,0,1
3,70.0,11,21.1,18.6,2.5,88.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,81.0,27,0.0,0.12,2.93,0.0,0,0,1,0,0,0,1
3,50.0,12,14.3,12.7,1.6,89.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,629,0.23,0.12,1.57,0.0,1,0,0,0,0,0,1
3,30.0,24,26.2,24.2,2.0,92.0,8.0,13.0,13.0,13.0,13.0,13.0,13.0,54.0,74,0.23,0.05,3.65,0.0,1,0,0,0,0,0,1
4,80.0,1,14.7,13.0,1.7,88.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,68,0.25,0.14,2.61,0.0,1,0,0,0,0,0,1
4,70.0,4,24.0,21.7,2.3,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,14,0.0,0.13,2.6,85.8,0,0,1,0,1,0,0
5,40.0,1,16.4,11.7,4.7,71.0,29.0,21.0,21.0,21.0,21.0,21.0,21.0,76.0,2,0.3,0.14,1.71,0.0,1,0,0,0,0,0,1
5,60.0,4,17.0,12.2,4.8,72.0,28.0,20.0,20.0,20.0,20.0,20.0,20.0,78.0,4,0.0,0.07,5.41,0.0,0,0,1,0,0,0,1
5,30.0,8,11.4,8.8,2.6,77.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,289,0.3,0.18,1.06,71.8,1,0,0,1,0,0,0
5,50.0,9,17.1,12.1,5.0,71.0,29.0,47.0,47.0,47.0,47.0,47.0,47.0,73.0,0,0.23,0.1,1.69,66.1,1,0,0,1,0,0,0
5,60.0,10,18.7,12.3,6.4,66.0,34.0,64.0,64.0,64.0,64.0,64.0,64.0,78.0,0,0.15,0.09,2.12,9.0,1,0,0,0,1,0,0
5,70.0,11,15.9,10.2,5.7,64.0,36.0,8.0,8.0,8.0,8.0,8.0,8.0,87.0,7,0.33,0.08,2.48,0.0,1,0,0,0,0,0,1
5,40.0,19,17.3,11.1,6.2,64.0,36.0,16.0,16.0,16.0,16.0,16.0,16.0,85.0,9,0.38,0.09,1.86,0.0,1,0,0,0,0,0,1
5,70.0,20,20.0,11.8,8.2,59.0,41.0,60.0,60.0,60.0,60.0,60.0,60.0,83.0,0,0.45,0.11,2.21,0.0,1,0,0,0,0,0,1
5,70.0,21,8.5,5.8,2.7,68.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,93.0,517,0.45,0.27,1.15,0.0,1,0,0,0,0,0,1
5,30.0,22,16.4,9.8,6.6,60.0,40.0,22.0,22.0,22.0,22.0,22.0,22.0,84.0,7,0.0,0.19,1.59,0.0,0,1,0,0,0,0,1
5,20.0,24,14.1,10.1,4.0,72.0,28.0,4.0,4.0,4.0,4.0,4.0,4.0,84.0,93,0.25,0.11,1.38,0.0,1,0,0,0,0,0,1
6,60.0,5,17.4,12.2,5.2,70.0,30.0,49.0,49.0,49.0,49.0,49.0,49.0,71.0,1,0.25,0.11,2.9,87.4,1,0,0,1,0,0,0
6,70.0,11,14.1,10.3,3.8,73.0,27.0,5.0,5.0,5.0,5.0,5.0,5.0,81.0,34,0.35,0.23,1.35,0.0,1,0,0,0,0,0,1
6,70.0,12,20.7,11.3,9.4,55.0,45.0,94.0,94.0,94.0,94.0,94.0,94.0,77.0,0,0.4,0.07,3.97,84.1,1,0,0,1,0,0,0
6,70.0,13,17.4,10.8,6.6,62.0,38.0,59.0,59.0,59.0,59.0,59.0,59.0,78.0,2,0.47,0.07,5.98,0.0,1,0,0,0,0,0,1
6,90.0,14,11.0,7.3,3.7,66.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,557,0.33,0.1,2.35,0.0,1,0,0,0,0,0,1
6,60.0,15,14.4,9.3,5.1,65.0,35.0,2.0,2.0,2.0,2.0,2.0,2.0,88.0,31,0.2,0.1,2.17,80.4,1,0,0,1,0,0,0
6,60.0,16,14.8,10.1,4.7,68.0,32.0,9.0,9.0,9.0,9.0,9.0,9.0,83.0,10,0.38,0.17,1.77,73.0,1,0,0,1,0,0,0
6,30.0,17,26.0,16.9,9.1,65.0,35.0,100.0,100.0,100.0,100.0,100.0,100.0,66.0,0,0.15,0.09,1.27,0.0,1,0,0,0,0,0,1
6,30.0,18,16.5,11.1,5.4,67.0,33.0,56.0,56.0,56.0,56.0,56.0,56.0,74.0,0,0.12,0.09,1.88,0.0,1,0,0,0,0,0,1
8,70.0,1,24.5,13.9,10.6,57.0,43.0,65.0,65.0,65.0,65.0,65.0,65.0,88.0,0,0.23,0.09,3.71,0.0,1,0,0,0,0,0,1
8,70.0,2,23.9,14.5,9.4,61.0,40.0,63.0,63.0,63.0,63.0,63.0,63.0,85.0,0,0.0,0.1,2.88,0.0,0,0,1,0,0,0,1
8,90.0,4,22.6,13.6,9.0,60.0,40.0,85.0,85.0,85.0,85.0,85.0,85.0,81.0,0,0.28,0.1,3.03,0.0,1,0,0,0,0,0,1
8,40.0,5,18.6,11.4,7.2,61.0,39.0,32.0,32.0,32.0,32.0,32.0,32.0,85.0,0,0.23,0.09,1.49,67.6,1,0,0,1,0,0,0
8,70.0,6,19.1,12.1,7.0,63.0,37.0,48.0,48.0,48.0,48.0,48.0,48.0,82.0,0,0.28,0.14,2.07,0.0,1,0,0,0,0,0,1
8,30.0,7,25.0,13.8,11.2,55.0,45.0,97.0,97.0,97.0,97.0,97.0,97.0,80.0,0,0.0,0.12,1.61,0.0,0,0,1,0,0,0,1
9,40.0,11,20.8,14.2,6.6,68.0,32.0,91.0,91.0,91.0,91.0,91.0,91.0,71.0,0,0.0,0.1,1.18,0.0,0,0,1,0,0,0,1
10,60.0,6,19.0,12.4,6.6,65.0,35.0,18.0,18.0,18.0,18.0,18.0,18.0,85.0,1,0.42,0.09,2.6,0.0,1,0,0,0,0,0,1
11,0.0,1,24.1,16.2,7.9,67.0,33.0,70.0,70.0,70.0,70.0,70.0,70.0,80.0,0,0.3,0.08,2.5,0.0,1,0,0,0,0,0,1
11,0.0,2,21.8,15.7,6.1,72.0,28.0,4.0,4.0,4.0,4.0,4.0,4.0,86.0,1,0.0,0.14,1.1,17.3,0,0,1,1,0,0,0
11,0.0,3,23.8,15.9,7.9,67.0,33.0,99.0,99.0,99.0,99.0,99.0,99.0,67.0,0,0.07,0.06,1.18,9.1,0,0,1,1,0,0,0
11,0.0,5,25.0,16.1,8.9,64.0,36.0,100.0,100.0,100.0,100.0,100.0,100.0,69.0,0,0.35,0.05,1.53,0.0,1,0,0,0,0,0,1
11,0.0,6,20.3,14.1,6.2,70.0,30.0,96.0,96.0,96.0,96.0,96.0,96.0,62.0,0,0.1,0.06,2.14,0.0,1,0,0,0,0,0,1
11,0.0,7,16.2,12.7,3.5,79.0,21.0,2.0,2.0,2.0,2.0,2.0,2.0,75.0,6,0.23,0.1,3.24,0.0,1,0,0,0,0,0,1
11,0.0,8,20.0,15.0,5.0,75.0,25.0,53.0,53.0,53.0,53.0,53.0,53.0,68.0,1,0.0,0.1,2.69,0.0,0,0,1,0,0,0,1
11,0.0,9,24.6,17.0,7.6,69.0,31.0,93.0,93.0,93.0,93.0,93.0,93.0,70.0,0,0.33,0.07,2.74,35.8,1,0,0,0,1,0,0
11,0.0,10,26.2,16.6,9.6,63.0,37.0,99.0,99.0,99.0,99.0,99.0,99.0,71.0,0,0.23,0.07,3.56,0.0,1,0,0,0,0,0,1
11,0.0,12,24.2,16.3,7.9,67.0,33.0,36.0,36.0,36.0,36.0,36.0,36.0,80.0,3,0.0,0.13,1.88,0.0,0,0,1,0,0,0,1
11,70.0,13,23.7,16.7,7.0,70.0,30.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,0,0.47,0.08,3.84,82.8,1,0,0,1,0,0,0
11,0.0,14,13.8,10.2,3.6,74.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,531,0.45,0.26,1.45,80.5,1,0,0,1,0,0,0
11,0.0,15,17.0,14.6,2.4,86.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,59,0.23,0.08,2.17,0.0,1,0,0,0,0,0,1
11,0.0,16,19.5,14.5,5.0,74.0,26.0,6.0,6.0,6.0,6.0,6.0,6.0,79.0,4,0.3,0.1,1.81,0.0,1,0,0,0,0,0,1
11,0.0,17,18.7,14.7,4.0,79.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,81.0,3,0.0,0.18,1.78,0.0,0,1,0,0,0,0,1
11,0.0,18,18.4,14.9,3.5,81.0,19.0,12.0,12.0,12.0,12.0,12.0,12.0,65.0,3,0.0,0.07,1.96,0.0,0,0,1,0,0,0,1
11,0.0,19,22.2,15.1,7.1,68.0,32.0,98.0,98.0,98.0,98.0,98.0,98.0,65.0,0,0.45,0.08,3.99,0.0,1,0,0,0,0,0,1
11,0.0,20,19.8,13.8,6.0,70.0,30.0,84.0,84.0,84.0,84.0,84.0,84.0,66.0,0,0.23,0.06,6.62,0.0,1,0,0,0,0,0,1
11,0.0,21,23.5,16.4,7.1,70.0,30.0,97.0,97.0,97.0,97.0,97.0,97.0,62.0,0,0.33,0.07,5.07,0.0,1,0,0,0,0,0,1
11,0.0,22,23.3,16.8,6.5,72.0,28.0,98.0,98.0,98.0,98.0,98.0,98.0,62.0,0,0.3,0.06,2.65,0.0,1,0,0,0,0,0,1
11,0.0,23,21.7,14.6,7.1,67.0,33.0,99.0,99.0,99.0,99.0,99.0,99.0,64.0,0,0.2,0.06,2.72,0.0,1,0,0,1,0,0,0
11,0.0,24,21.5,14.0,7.5,65.0,35.0,99.0,99.0,99.0,99.0,99.0,99.0,64.0,0,0.28,0.07,5.34,0.0,1,0,0,0,0,0,1
12,0.0,1,20.7,12.8,7.9,62.0,38.0,98.0,98.0,98.0,98.0,98.0,98.0,61.0,0,0.28,0.07,5.53,18.7,1,0,0,1,0,0,0
