epoch,accuracy,loss,val_accuracy,val_loss
5,0.5855855941772461,0.6772968769073486,NA,NA
10,0.7477477192878723,0.6027426719665527,NA,NA
15,0.8018018007278442,0.5503396987915039,NA,NA
20,0.8018018007278442,0.5128583908081055,NA,NA
25,0.8018018007278442,0.4863942563533783,NA,NA
30,0.8018018007278442,0.4655826985836029,NA,NA
35,0.8018018007278442,0.45080551505088806,NA,NA
40,0.8018018007278442,0.4387289583683014,NA,NA
45,0.8018018007278442,0.427041232585907,NA,NA
50,0.8018018007278442,0.4145544469356537,NA,NA
55,0.8018018007278442,0.4036916196346283,NA,NA
60,0.8018018007278442,0.39288830757141113,NA,NA
65,0.8018018007278442,0.38255059719085693,NA,NA
70,0.8018018007278442,0.37257203459739685,NA,NA
75,0.8108108043670654,0.36266106367111206,NA,NA
80,0.8108108043670654,0.3523893356323242,NA,NA
85,0.8198198080062866,0.3430057764053345,NA,NA
90,0.8288288116455078,0.33335524797439575,NA,NA
95,0.837837815284729,0.3248254358768463,NA,NA
100,0.837837815284729,0.31582871079444885,NA,NA
