Sample,25x,50x,100x,200x,500x,1000x,Cov_10%_qtile,Cov Het
200085916-399-S2,100.00%,100.00%,100.00%,99.85%,97.72%,69.28%,725×,0.29%
200085917-397-S20,100.00%,100.00%,99.99%,99.77%,94.41%,32.63%,579×,0.15%
200085918-408-S21,100.00%,100.00%,99.98%,98.65%,44.94%,0.96%,308×,0.01%
200085919-398-S22,100.00%,100.00%,100.00%,99.96%,98.54%,63.96%,772×,0.05%
200085920-405-S23,100.00%,100.00%,99.95%,99.27%,73.76%,2.00%,377×,0.14%
200085921-402-S3,100.00%,100.00%,100.00%,99.93%,97.49%,65.22%,696×,0.14%
200085922-401-S4,100.00%,100.00%,100.00%,99.95%,97.16%,82.04%,747×,0.50%
200086967-466-S1,100.00%,100.00%,100.00%,99.86%,89.93%,65.84%,499×,1.05%
200086968-472-S10,100.00%,99.99%,99.95%,99.50%,80.25%,30.41%,399×,0.30%
200086969-479-S11,100.00%,100.00%,100.00%,100.00%,99.91%,97.45%,"1,371×",0.01%
200086970-470-S12,100.00%,100.00%,100.00%,100.00%,99.81%,95.89%,"1,163×",0.02%
200086971-469-S13,99.89%,98.41%,81.96%,25.82%,1.62%,1.53%,84×,1.72%
200086972-480-S14,100.00%,100.00%,100.00%,100.00%,99.97%,99.09%,"1,647×",0.03%
200086973-474-S15,100.00%,100.00%,100.00%,100.00%,100.00%,98.98%,"1,561×",0.00%
200086974-459-S16,100.00%,100.00%,99.91%,97.45%,73.57%,33.46%,316×,0.97%
200086975-460-S17,100.00%,100.00%,100.00%,100.00%,99.89%,96.30%,"1,319×",0.02%
200086976-471-S18,100.00%,100.00%,100.00%,100.00%,99.99%,99.54%,"1,690×",0.01%
200086977-468-S19,100.00%,100.00%,100.00%,99.94%,95.83%,56.81%,618×,0.07%
200086978-481-S2,99.99%,99.97%,99.89%,99.76%,92.67%,25.41%,534×,0.18%
200086979-464-S20,100.00%,100.00%,100.00%,100.00%,99.84%,92.63%,"1,105×",0.06%
200086980-461-S21,100.00%,100.00%,100.00%,99.92%,99.30%,78.88%,851×,0.13%
200086981-476-S22,100.00%,100.00%,99.99%,99.79%,82.42%,34.94%,422×,0.07%
200086982-478-S23,100.00%,100.00%,100.00%,100.00%,99.73%,93.42%,"1,109×",0.10%
200086983-475-S24,100.00%,100.00%,100.00%,100.00%,99.64%,95.42%,"1,205×",0.06%
200086984-477-S3,100.00%,100.00%,100.00%,100.00%,99.98%,98.05%,"1,393×",0.00%
200087243-498-S1,100.00%,99.95%,98.95%,87.38%,25.20%,1.09%,186×,0.28%
200087244-487-S10,100.00%,99.91%,99.00%,91.00%,32.68%,0.18%,208×,0.54%
200087245-493-S11,100.00%,100.00%,100.00%,99.84%,97.32%,66.78%,722×,0.28%
200087246-496-S12,100.00%,99.98%,99.65%,97.78%,61.72%,6.22%,312×,0.43%
200087247-499-S13,99.98%,99.84%,97.93%,83.61%,17.51%,0.38%,166×,0.34%
