Sample,GI_index,QA_status,GI_status,Total(M),WGS(M),%WGS,%CovOut,PPR,RN,SNR,QAStatus,Run,LCR,25x,50x,100x,200x,500x,1000x,Cov_10%_qtile,Cov Het,Duplicate Fraction
200086944-450-S10,-7.2,High,Negative,25.1,18.7,74.5%,0.0%,0.3,0.09,3.4,High,HRD_Run3,0,100.00%,100.00%,100.00%,99.99%,99.64%,85.75%,866×,0.24%,53.93%
200086945-447-S11,-9.2,High,Negative,20.8,14.6,70.2%,0.1%,0.15,0.07,3.72,High,HRD_Run3,0,100.00%,100.00%,100.00%,100.00%,99.93%,95.38%,"1,124×",0.00%,64.38%
200086946-456-S12,-8.9,High,Negative,16.3,12.0,73.7%,1.7%,0.12,0.07,5.84,High,HRD_Run3,0,100.00%,100.00%,100.00%,99.97%,97.98%,56.23%,695×,0.49%,60.05%
200086947-443-S13,-9.6,Medium,Negative*,18.5,15.2,82.0%,0.0%,-,0.1,0.78,Medium,HRD_Run3,3,99.99%,99.96%,99.90%,99.69%,90.96%,25.79%,513×,0.20%,55.96%
200086948-441-S14,16.1,High,Positive,18.5,14.4,77.4%,0.0%,0.48,0.08,4.45,High,HRD_Run3,0,100.00%,100.00%,100.00%,99.92%,97.04%,47.70%,619×,0.07%,64.66%
200086949-455-S15,-10.2,Medium,Negative*,15.2,12.1,79.4%,1.2%,-,0.07,1.05,Medium,HRD_Run3,4,100.00%,99.97%,99.89%,99.56%,84.75%,2.03%,460×,0.18%,61.66%
200086950-446-S16,-0.0,Medium,Negative*,24.3,18.9,78.1%,0.0%,-,0.1,2.36,Medium,HRD_Run3,1,100.00%,100.00%,99.98%,99.92%,99.49%,88.73%,975×,0.14%,56.86%
200086951-437-S17,10.3,High,Positive,21.6,16.3,75.3%,0.1%,0.3,0.08,7.09,High,HRD_Run3,0,100.00%,100.00%,100.00%,99.97%,94.10%,75.39%,596×,0.27%,62.5%
200086952-434-S18,-12.6,Medium,Negative,20.5,14.1,68.5%,2.9%,-,0.07,3.76,Medium,HRD_Run3,0,100.00%,100.00%,100.00%,100.00%,99.73%,92.16%,"1,081×",0.07%,59.22%
200086953-451-S19,1.9,High,Positive,16.9,12.8,76.1%,0.0%,0.38,0.08,3.69,High,HRD_Run3,0,100.00%,100.00%,100.00%,99.91%,87.51%,20.76%,479×,0.01%,71.99%
200086954-442-S2,-9.2,Medium,Negative*,16.7,13.7,81.9%,0.0%,-,0.08,0.76,Medium,HRD_Run3,3,99.99%,99.96%,99.87%,99.50%,74.74%,7.44%,391×,0.16%,63.88%
200086955-452-S20,-6.5,High,Negative,24.0,17.5,72.8%,0.1%,0.12,0.07,2.45,High,HRD_Run3,0,100.00%,100.00%,100.00%,99.99%,99.81%,94.59%,"1,135×",0.04%,63.31%
200086956-448-S21,-9.7,Medium,Negative,16.2,10.5,64.7%,2.8%,-,0.1,2.48,Medium,HRD_Run3,0,100.00%,100.00%,100.00%,100.00%,95.84%,36.37%,590×,0.40%,77.72%
200086957-454-S22,-8.5,High,Negative,24.7,19.0,77.1%,0.0%,0.23,0.11,2.29,High,HRD_Run3,0,100.00%,100.00%,100.00%,100.00%,99.81%,94.11%,"1,117×",0.04%,51.97%
200086958-453-S23,-10.7,High,Negative,23.5,16.6,70.7%,0.1%,0.12,0.07,4.59,High,HRD_Run3,0,100.00%,100.00%,100.00%,100.00%,99.98%,95.83%,"1,221×",0.00%,63.56%
200086959-457-S24,4.6,Medium,Positive,21.1,14.7,69.5%,2.6%,-,0.06,0.77,Medium,HRD_Run3,0,100.00%,100.00%,100.00%,100.00%,99.99%,98.38%,"1,430×",0.00%,58.44%
200086960-438-S3,-7.3,High,Negative,21.3,15.5,72.8%,1.9%,0.1,0.06,3.24,High,HRD_Run3,0,100.00%,100.00%,100.00%,100.00%,99.99%,96.11%,"1,226×",0.00%,58.17%
200086968-472-S10,7.0,Medium,Positive,23.8,20.0,84.1%,0.0%,-,0.1,4.04,Medium,HRD_Run4,3,100.00%,99.99%,99.95%,99.50%,80.25%,30.41%,399×,0.30%,68.35%
200086969-479-S11,-7.7,Medium,Negative*,22.6,16.0,70.7%,0.9%,-,0.06,0.64,Medium,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,99.91%,97.45%,"1,371×",0.01%,55.13%
200086970-470-S12,-5.3,High,Negative,22.5,16.4,72.8%,3.2%,0.45,0.07,3.93,High,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,99.81%,95.89%,"1,163×",0.02%,51.74%
200086971-469-S13,-7.6,High,Negative,14.6,12.1,83.2%,0.1%,0.18,0.12,3.24,High,HRD_Run4,484,99.89%,98.41%,81.96%,25.82%,1.62%,1.53%,84×,1.72%,88.5%
200086972-480-S14,-9.9,High,Negative,23.9,16.3,68.4%,1.2%,0.18,0.07,3.36,High,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,99.97%,99.09%,"1,647×",0.03%,53.59%
200086973-474-S15,-12.9,Medium,Negative,23.2,15.9,68.3%,3.5%,-,0.06,1.88,Medium,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,100.00%,98.98%,"1,561×",0.00%,51.16%
200086974-459-S16,-1.6,High,Negative,23.7,19.7,83.1%,0.0%,0.12,0.07,2.06,High,HRD_Run4,8,100.00%,100.00%,99.91%,97.45%,73.57%,33.46%,316×,0.97%,69.7%
200086975-460-S17,-18.3,High,Negative,21.6,15.1,70.0%,1.3%,0.2,0.07,3.84,High,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,99.89%,96.30%,"1,319×",0.02%,54.17%
200086976-471-S18,-14.6,High,Negative,23.8,16.2,68.2%,3.4%,0.15,0.06,3.94,High,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,99.99%,99.54%,"1,690×",0.01%,48.84%
